"EXPT","YR","TRIAL","LOC","ENTRY","ID","FHB09","INC","SEV","FDK","DON","HDYR","SDQ09"
"USSN",22,"USSN22ARF","ARF",52,"LINE52",1.66666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",53,"LINE53",1.66666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",54,"LINE54",1.25,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",55,"LINE55",4.16666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",56,"LINE56",1.25,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",57,"LINE57",1.25,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",58,"LINE58",1.66666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",59,"LINE59",0.833333333333333,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",60,"LINE60",2.08333333333333,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",61,"LINE61",0.833333333333333,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",62,"LINE62",2.5,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",63,"LINE63",4.16666666666667,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",64,"LINE64",2.5,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",65,"LINE65",2.5,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARF","ARF",66,"LINE66",1.25,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",1,"LINE1",0.185185185185185,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",2,"LINE2",4.25925925925926,NA,NA,NA,NA,NA,NA
"USSN",22,"USSN22ARN","ARN",3,"LINE3",0.185185185185185,NA,NA,NA,NA,NA,NA
